iter	Logloss
0	0.4845382521
1	0.426800159
2	0.4179104385
3	0.3870363468
4	0.3616457713
5	0.3602862349
6	0.3598181589
7	0.3544966779
8	0.3530153104
9	0.3514551581
10	0.3505117987
11	0.3479047402
12	0.3478086583
13	0.346088119
14	0.3450359365
15	0.3430872186
16	0.3428843455
17	0.3425098151
18	0.3415070927
19	0.3410513832
20	0.3359091301
21	0.3352001417
22	0.3335470747
23	0.3327677946
24	0.3320603003
25	0.3299473009
26	0.3286429499
27	0.328445404
28	0.3283349901
29	0.3273669339
30	0.3273496487
31	0.3252686747
32	0.3245507252
33	0.3245495174
34	0.3239014341
35	0.3237516433
36	0.3237408626
37	0.3236906982
38	0.3230370709
39	0.3216760015
40	0.3212195018
41	0.3205181339
42	0.3200344611
43	0.3192308807
44	0.3178971828
45	0.3147585678
46	0.3143363115
47	0.3143327626
48	0.3137909918
49	0.3136610149
