iter	Passed	Remaining
0	257	12640
1	494	11858
2	732	11469
3	959	11033
4	1131	10187
5	1340	9830
6	1497	9201
7	1724	9054
8	1884	8585
9	2068	8272
10	2301	8161
11	2400	7600
12	2569	7314
13	2800	7201
14	3008	7019
15	3238	6882
16	3411	6622
17	3607	6413
18	3767	6146
19	3943	5915
20	4191	5788
21	6586	8383
22	7139	8381
23	7966	8630
24	8753	8753
25	9391	8669
26	9888	8423
27	10366	8145
28	10917	7905
29	11579	7719
30	11868	7274
31	12196	6860
32	12342	6358
33	12472	5869
34	12612	5405
35	12815	4983
36	12984	4561
37	13137	4148
38	13274	3744
39	13439	3359
40	13586	2982
41	13748	2618
42	13899	2262
43	14079	1919
44	14242	1582
45	14406	1252
46	14560	929
47	14705	612
48	14862	303
49	15028	0
